,dv,heat,year,region,country,rain,region_id
191,8.09,0.0,2007,1,JOR,0.0596306660246298,JOR_1
192,9.18,0.0,2007,2,JOR,0.132554455480465,JOR_2
193,9.19,0.0,2007,3,JOR,-0.129374727440712,JOR_3
194,8.13,0.0833333333333333,2012,1,JOR,-0.339162337069135,JOR_1
195,6.29,0.166666666666667,2012,2,JOR,-0.311292106103464,JOR_2
196,4.85,0.0833333333333333,2012,3,JOR,-0.135575083329428,JOR_3
197,10.27,0.0833333333333333,2017,1,JOR,-0.508471135098976,JOR_1
198,5.29,0.0833333333333333,2017,2,JOR,-0.672356880509048,JOR_2
199,6.01,0.0833333333333333,2017,3,JOR,-0.345782705749859,JOR_3
212,12.29,0.0,2000,1,KHM,0.608818526172507,KHM_1
213,16.18,0.0,2000,2,KHM,0.302096822315367,KHM_2
214,18.65,0.0,2000,3,KHM,0.585095131907353,KHM_3
215,9.85,0.0,2000,4,KHM,0.425731810030768,KHM_4
216,13.37,0.0,2000,5,KHM,0.666951614356215,KHM_5
217,19.51,0.0,2000,6,KHM,0.289856575613019,KHM_6
218,11.64,0.0,2000,7,KHM,0.484013735331454,KHM_7
219,18.41,0.0,2000,8,KHM,0.289627700539101,KHM_8
220,7.62,0.0,2000,9,KHM,0.324396455970229,KHM_9
221,33.83,0.0,2000,10,KHM,0.465601230889635,KHM_10
222,31.24,0.0,2000,11,KHM,0.635569684404388,KHM_11
223,15.41,0.0,2000,12,KHM,-0.0141319950307895,KHM_12
224,15.24,0.0,2000,13,KHM,0.195493413007619,KHM_13
225,35.26,0.0,2000,14,KHM,0.480046691833258,KHM_14
226,14.86,0.0,2000,15,KHM,0.484739766228933,KHM_15
227,15.19,0.0,2000,16,KHM,0.365717012809222,KHM_16
228,14.42,0.0,2000,18,KHM,0.388267242163797,KHM_18
229,9.49,0.0,2000,19,KHM,0.347974821883781,KHM_19
230,11.19,0.0833333333333333,2005,1,KHM,-0.316497702924301,KHM_1
231,11.25,0.0833333333333333,2005,2,KHM,-0.171255094150105,KHM_2
232,6.16,0.0833333333333333,2005,3,KHM,-0.0378211287605723,KHM_3
233,7.27,0.0,2005,4,KHM,-0.225018973665358,KHM_4
234,7.05,0.0833333333333333,2005,5,KHM,-0.092205338114776,KHM_5
235,5.89,0.0833333333333333,2005,6,KHM,0.103847705629471,KHM_6
236,4.48,0.0833333333333333,2005,7,KHM,-0.0875632003237359,KHM_7
237,4.02,0.0833333333333333,2005,8,KHM,0.111679006556854,KHM_8
238,10.58,0.0833333333333333,2005,9,KHM,0.100190002146733,KHM_9
239,10.21,0.0833333333333333,2005,10,KHM,-0.0944189713513123,KHM_10
240,8.16,0.0833333333333333,2005,11,KHM,-0.0869900662529635,KHM_11
241,1.59,0.0833333333333333,2005,12,KHM,0.132787821405914,KHM_12
242,6.43,0.0,2005,13,KHM,0.115882473658312,KHM_13
243,18.0,0.0833333333333333,2005,14,KHM,-0.143434874227129,KHM_14
244,4.25,0.0833333333333333,2005,15,KHM,-0.119776214479804,KHM_15
245,2.42,0.0,2005,16,KHM,-0.0367048561192976,KHM_16
246,10.9,0.0833333333333333,2005,18,KHM,-0.140368044834157,KHM_18
247,11.7,0.0833333333333333,2005,19,KHM,-0.141837695404,KHM_19
248,12.76,0.0,2014,1,KHM,0.231158220831408,KHM_1
249,17.04,0.0,2014,2,KHM,0.264754181539106,KHM_2
250,3.07,0.0,2014,3,KHM,0.144725049926933,KHM_3
251,6.58,0.0,2014,4,KHM,0.0112553053304128,KHM_4
252,6.73,0.0,2014,5,KHM,0.334496393429529,KHM_5
253,7.04,0.0,2014,6,KHM,0.0357443087199208,KHM_6
254,9.93,0.0,2014,7,KHM,0.646523692375339,KHM_7
255,2.39,0.0,2014,8,KHM,0.0274581139915275,KHM_8
256,4.26,0.0,2014,9,KHM,0.0430283372365271,KHM_9
257,5.74,0.0,2014,10,KHM,0.106941158019037,KHM_10
258,11.44,0.0,2014,11,KHM,0.345908740369117,KHM_11
259,3.68,0.0,2014,12,KHM,0.0268605361244613,KHM_12
260,8.48,0.0,2014,13,KHM,-0.0063435086531375,KHM_13
261,12.5,0.0,2014,14,KHM,0.308906856278203,KHM_14
262,4.87,0.0,2014,15,KHM,0.134524803199441,KHM_15
263,7.2,0.0,2014,16,KHM,0.0106944683127886,KHM_16
264,10.23,0.0,2014,18,KHM,0.672754642596573,KHM_18
265,6.66,0.0,2014,19,KHM,0.683843059097881,KHM_19
271,28.1,0.0833333333333333,2006,1,MLI,-0.225505591634112,MLI_1
272,16.46,0.0,2006,2,MLI,-0.0922967628756968,MLI_2
273,25.91,0.0833333333333333,2006,3,MLI,-0.0637722664688165,MLI_3
274,17.1,0.0,2006,4,MLI,-0.155551802247483,MLI_4
278,13.73,0.0833333333333333,2006,9,MLI,0.107560374396245,MLI_9
279,19.01,0.0833333333333333,2012,1,MLI,0.235197392135598,MLI_1
280,21.16,0.0833333333333333,2012,2,MLI,0.0162019607394825,MLI_2
281,36.98,0.0,2012,3,MLI,0.128667284391437,MLI_3
282,21.1,0.0,2012,4,MLI,0.217608646331991,MLI_4
283,21.43,0.0833333333333333,2012,9,MLI,0.0026786445178014,MLI_9
284,22.53,0.166666666666667,2018,1,MLI,-0.320420086838446,MLI_1
285,23.59,0.166666666666667,2018,2,MLI,-0.17333004961421,MLI_2
