dv,heat,year,region,country,rain,region_id
31.58,0.0,2000,19,PER,0.1086432,PER_19
19.94,0.0,2000,20,PER,1.007714,PER_20
30.77,0.0,2000,21,PER,0.007935476,PER_21
36.47,0.0,2000,22,PER,-0.3144239,PER_22
31.18,0.0,2000,23,PER,-0.2604069,PER_23
28.21,0.0,2000,24,PER,0.7332967,PER_24
35.93,0.0,2000,25,PER,-0.1910425,PER_25
9.68,0.0,2004,1,PER,-0.485504,PER_1
8.46,0.0,2004,2,PER,-0.2628122,PER_2
16.53,0.0,2004,3,PER,-0.3808495,PER_3
10.86,0.0,2004,4,PER,-0.4968499,PER_4
12.78,0.0,2004,5,PER,-0.2789483,PER_5
6.65,0.0,2004,6,PER,0.1419227,PER_6
15.85,0.0,2004,8,PER,-0.2746116,PER_8
13.52,0.0,2004,9,PER,-0.6778089,PER_9
11.97,0.0,2004,10,PER,-0.3580795,PER_10
11.84,0.0,2004,12,PER,-0.4680029,PER_12
7.6,0.0,2004,13,PER,-0.2759934,PER_13
8.17,0.0,2004,14,PER,0.124053,PER_14
7.4,0.0,2004,15,PER,-0.8753293,PER_15
13.39,0.0,2004,16,PER,1.822265,PER_16
17.42,0.0,2004,17,PER,-0.1736882,PER_17
10.38,0.0,2004,18,PER,-0.5890428,PER_18
9.62,0.0,2004,20,PER,-0.2375037,PER_20
15.27,0.0,2004,21,PER,-0.3994101,PER_21
11.98,0.0,2004,22,PER,0.1740777,PER_22
9.87,0.0,2004,24,PER,-0.3147755,PER_24
13.89,0.0,2004,25,PER,0.09732936,PER_25
9.68,0.0,2007,1,PER,-0.485504,PER_1
8.46,0.0,2007,2,PER,-0.2628122,PER_2
16.53,0.0,2007,3,PER,-0.3808495,PER_3
10.86,0.0,2007,4,PER,-0.4968499,PER_4
12.78,0.0,2007,5,PER,-0.2789483,PER_5
6.65,0.0,2007,6,PER,0.1419227,PER_6
15.85,0.0,2007,8,PER,-0.2746116,PER_8
13.52,0.0,2007,9,PER,-0.6778089,PER_9
11.97,0.0,2007,10,PER,-0.3580795,PER_10
11.84,0.0,2007,12,PER,-0.4680029,PER_12
