dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
53.73,0.0833333333333333,2007,8,COD,0.0515514614620583,46.13,4.72,63.38,,9.73,37.41,7.24,17.15,,36.29,,,14.03,16.9,51.46,,,56.15,53.73,16.62,6.63,26.28,14.26,COD_8
40.05,0.25,2007,9,COD,0.158066101754941,29.81,3.2,52.11,,13.66,37.39,4.44,24.78,,23.5,,,22.34,14.58,71.57,,,40.56,40.05,17.7,5.84,21.11,3.03,COD_9
42.83,0.5,2007,10,COD,0.0018108774939272,20.53,3.13,38.68,,6.78,23.55,9.5,20.91,,23.65,,,30.32,13.34,65.1,,,42.98,42.83,16.62,5.82,21.8,7.79,COD_10
41.91,0.166666666666667,2007,11,COD,0.147596733022707,30.88,4.13,62.16,,8.02,48.59,15.44,54.4,,29.78,,,21.94,14.16,54.99,,,44.55,41.91,17.7,6.46,22.33,25.54,COD_11
20.69,0.0,2013,1,COD,0.161609638779635,100.0,10.35,93.26,,9.82,27.47,72.43,62.95,28.16,90.02,11.04,4.62,25.84,25.54,,,,22.64,20.69,57.33,8.03,32.79,92.21,COD_1
28.61,0.0833333333333333,2013,2,COD,0.110152047852887,20.58,6.31,64.97,,9.52,23.82,4.46,23.96,28.34,19.26,48.55,41.74,9.39,24.84,,,,33.13,28.61,8.09,7.04,25.05,0.7,COD_2
21.54,0.0,2013,3,COD,0.0807240766925836,30.21,6.21,66.84,,2.26,16.39,15.31,35.58,32.79,49.58,26.34,31.65,5.16,14.79,,,,26.93,21.54,10.43,6.4,16.37,17.66,COD_3
34.15,0.0833333333333333,2013,4,COD,-0.164217217137199,19.78,4.84,53.39,,6.78,12.93,8.17,26.92,19.19,28.84,37.64,35.24,10.07,17.49,,,,34.51,34.15,8.09,6.41,23.91,2.35,COD_4
35.4,0.0833333333333333,2013,5,COD,0.105506434353822,33.72,5.29,51.11,,6.7,10.02,3.75,23.33,17.99,43.0,43.65,38.88,10.4,11.58,,,,40.28,35.4,8.09,7.53,25.64,1.19,COD_5
30.81,0.0,2013,6,COD,0.0682049370400911,41.64,6.11,63.89,,9.07,15.82,3.87,27.38,23.13,45.92,32.45,25.63,6.45,10.26,,,,36.2,30.81,10.05,7.99,22.94,1.05,COD_6
27.51,0.0,2013,7,COD,0.0468001551656352,47.7,5.53,54.26,,5.86,25.07,26.96,23.36,17.54,41.76,43.71,48.95,9.73,9.52,,,,28.68,27.51,12.79,6.84,22.35,31.43,COD_7
31.54,0.0,2013,8,COD,0.0710049779861589,32.87,5.69,66.38,,4.24,25.79,4.23,16.52,37.02,40.51,42.06,34.38,4.56,8.71,,,,32.84,31.54,14.44,6.15,21.08,9.36,COD_8
11.36,0.0,2013,9,COD,0.084564364241111,46.52,5.63,64.15,,13.31,36.53,12.64,22.81,44.77,34.19,35.57,28.66,11.73,9.24,,,,11.94,11.36,14.44,6.04,17.15,14.16,COD_9
25.97,0.0,2013,10,COD,0.0031748071405114,22.69,4.99,57.64,,8.32,19.54,11.04,32.19,29.42,48.74,44.72,41.16,11.41,19.12,,,,27.08,25.97,13.11,6.49,20.67,9.9,COD_10
31.11,0.0833333333333333,2013,11,COD,-0.0391319330144697,15.69,4.81,59.85,,6.91,26.06,6.44,19.15,26.79,29.2,45.17,50.75,10.61,17.81,,,,33.63,31.11,8.09,6.98,17.68,8.63,COD_11
22.98,0.0,2000,1,COL,0.869957222138255,78.25,7.96,100.0,,,,,77.84,,90.28,,,64.32,27.46,69.57,,,32.92,22.98,58.13,4.85,21.65,96.34,COL_1
27.9,0.0,2000,2,COL,0.5828466451274,65.15,7.35,100.0,,,,,77.57,,77.27,,,65.42,20.32,75.97,,,42.32,27.9,59.84,4.53,18.86,97.29,COL_2
24.77,0.0,2000,3,COL,0.78737533708336,76.19,7.86,100.0,,,,,83.46,,90.15,,,62.61,18.73,77.99,,,38.53,24.77,68.03,4.86,26.87,96.66,COL_3
31.37,0.0,2000,4,COL,0.742595840629737,71.27,7.47,100.0,,,,,79.78,,77.09,,,64.45,21.79,74.81,,,47.66,31.37,59.84,4.05,16.95,92.86,COL_4
26.51,0.0,2000,5,COL,0.59845600581198,99.8,9.49,100.0,,,,,75.59,,89.57,,,72.34,21.6,69.3,,,41.85,26.51,71.65,3.94,17.54,99.83,COL_5
21.76,0.0,2005,1,COL,0.797613735309354,76.0,8.65,100.0,,,,,83.75,,89.81,,,73.23,27.38,67.56,,,31.6,21.76,62.16,4.6,19.33,97.34,COL_1
28.29,0.0,2005,2,COL,0.487103189727029,68.24,7.94,100.0,,,,,82.63,,88.39,,,73.89,22.01,77.68,,,41.31,28.29,67.13,4.71,25.1,97.23,COL_2
24.89,0.0,2005,3,COL,-0.0538889947345033,74.26,8.28,100.0,,,,,88.2,,90.11,,,70.67,20.02,78.08,,,37.48,24.89,70.75,4.71,24.96,96.01,COL_3
25.01,0.0,2005,4,COL,-0.234031835699693,70.87,8.23,100.0,,,,,84.38,,87.47,,,72.2,20.4,74.36,,,38.28,25.01,68.46,4.55,20.89,96.52,COL_4
30.26,0.0,2005,5,COL,0.0232638269078729,99.7,9.86,100.0,,,,,81.77,,93.54,,,82.69,22.56,71.4,,,46.68,30.26,75.72,3.77,15.89,99.79,COL_5
29.63,0.0,2005,6,COL,0.483373597490885,100.0,8.81,100.0,,,,,82.38,,90.57,,,73.65,21.55,74.46,,,42.25,29.63,67.82,5.13,27.66,99.38,COL_6
